T;Ax;Ay;Az;CLASS
0.00;-0.04;0.04;1.02;
50.00;-0.04;0.05;1.03;
101.00;-0.04;0.04;1.01;
151.00;-0.04;0.04;1.02;
201.00;-0.04;0.05;1.01;
253.00;-0.04;0.03;1.03;
301.00;-0.05;0.04;1.03;
367.00;-0.04;0.04;1.02;
416.00;-0.03;0.04;1.02;
467.00;-0.04;0.03;1.03;
516.00;-0.04;0.04;1.02;
567.00;-0.05;0.04;1.02;
616.00;-0.04;0.04;1.02;
667.00;-0.05;0.04;1.02;
718.00;-0.05;0.05;1.02;
768.00;-0.04;0.05;1.02;
817.00;-0.04;0.05;1.02;
867.00;-0.04;0.05;1.02;
916.00;-0.05;0.04;1.02;
967.00;-0.04;0.05;1.02;
1016.00;-0.05;0.05;1.02;
1066.00;-0.04;0.04;1.03;
1133.00;-0.05;0.03;1.03;
1182.00;-0.05;0.04;1.02;
1232.00;-0.04;0.06;1.03;
1283.00;-0.04;0.04;1.02;
1332.00;-0.05;0.04;1.02;
1382.00;-0.05;0.05;1.03;
1432.00;-0.04;0.04;1.02;
1483.00;-0.02;0.04;1.02;
1533.00;-0.03;0.05;1.02;
1582.00;-0.04;0.04;1.03;
1634.00;-0.05;0.05;1.02;
1682.00;-0.04;0.04;1.02;
1734.00;-0.04;0.04;1.03;
1783.00;-0.05;0.05;1.03;
1833.00;-0.05;0.05;1.02;
1882.00;-0.04;0.03;1.03;
1932.00;-0.04;0.04;1.03;
1999.00;-0.05;0.04;1.03;
2048.00;-0.05;0.05;1.03;
2098.00;-0.05;0.05;1.01;
2148.00;-0.05;0.03;1.02;
2198.00;-0.05;0.04;1.02;
2248.00;-0.04;0.05;1.02;
2298.00;-0.04;0.04;1.01;
2348.00;-0.05;0.07;1.02;
2398.00;-0.04;0.05;1.02;
2447.00;-0.04;0.03;1.02;
2499.00;-0.06;0.05;1.03;Negative
2549.00;-0.04;0.02;1.03;Negative
2598.00;-0.04;0.05;1.02;Negative
2648.00;-0.03;0.04;1.02;Negative
2698.00;-0.04;0.04;1.03;Negative
2747.00;-0.05;0.04;1.01;Negative
2814.00;-0.04;0.04;1.02;Negative
2865.00;-0.04;0.04;1.01;Negative
2914.00;-0.05;0.04;1.03;Negative
2965.00;-0.04;0.05;1.02;Negative
3014.00;-0.04;0.05;1.02;Negative
3064.00;-0.04;0.04;1.02;Negative
3114.00;-0.04;0.04;1.02;Negative
3165.00;-0.05;0.04;1.03;Negative
3214.00;-0.05;0.05;1.03;Negative
3264.00;-0.05;0.05;1.03;Negative
3315.00;-0.04;0.04;1.02;Negative
3365.00;-0.05;0.05;1.03;Negative
3414.00;-0.05;0.04;1.00;Negative
3464.00;-0.03;0.03;1.03;Negative
3513.00;-0.04;0.04;1.03;Negative
3565.00;-0.04;0.03;1.03;Negative
3631.00;-0.05;0.05;1.02;Negative
3680.00;-0.03;0.04;1.02;Negative
3732.00;-0.04;0.03;1.02;Negative
3781.00;-0.04;0.04;1.02;Negative
3831.00;-0.05;0.05;1.02;Negative
3881.00;-0.04;0.04;1.03;Negative
3931.00;-0.04;0.04;1.03;Negative
3981.00;-0.04;0.04;1.02;Negative
4031.00;-0.04;0.03;1.02;Negative
4080.00;-0.04;0.04;1.02;Negative
4131.00;-0.04;0.04;1.02;Negative
4180.00;-0.04;0.05;1.02;Negative
4231.00;-0.05;0.05;1.02;Negative
4280.00;-0.04;0.05;1.02;Negative
4331.00;-0.05;0.05;1.02;Negative
4381.00;-0.04;0.05;1.02;Negative
4431.00;-0.04;0.04;1.02;Negative
4499.00;-0.04;0.05;1.02;Negative
4546.00;-0.05;0.04;1.03;Negative
4597.00;-0.04;0.05;1.02;Negative
4646.00;-0.05;0.04;1.02;Negative
4696.00;-0.04;0.04;1.02;Negative
4746.00;-0.03;0.03;1.02;Negative
4796.00;-0.04;0.03;1.02;Negative
4846.00;-0.04;0.04;1.03;Negative
4896.00;-0.04;0.04;1.02;Negative
4945.00;-0.05;0.04;1.02;Negative
4996.00;-0.04;0.04;1.02;Negative
