T;Ax;Ay;Az;CLASS
0.00;0.01;-0.01;1.01;
49.00;0.02;-0.00;1.03;
104.00;0.00;0.00;1.03;
149.00;0.00;-0.01;1.02;
199.00;0.01;-0.03;1.02;
248.00;0.02;-0.01;1.03;
299.00;0.02;-0.02;1.02;
349.00;0.01;-0.02;1.01;
399.00;0.02;-0.00;1.02;
449.00;-0.00;-0.00;1.02;
499.00;0.01;-0.01;1.02;
548.00;0.01;-0.00;1.02;
599.00;0.01;-0.01;1.03;
648.00;0.01;-0.02;1.03;
700.00;0.02;-0.01;1.02;
749.00;0.01;-0.02;1.02;
799.00;0.00;-0.02;1.02;
865.00;0.00;-0.01;1.03;
915.00;0.00;-0.02;1.02;
965.00;0.00;0.01;1.02;
1014.00;0.01;-0.01;1.03;
1065.00;0.01;-0.01;1.02;
1116.00;0.01;-0.01;1.03;
1166.00;0.01;-0.02;1.03;
1215.00;0.01;-0.01;1.03;
1265.00;0.01;-0.00;1.03;
1315.00;0.01;-0.01;1.03;
1368.00;0.01;0.00;1.03;
1414.00;0.01;-0.01;1.02;
1465.00;0.01;-0.00;1.03;
1514.00;-0.01;-0.01;1.02;
1564.00;0.01;-0.01;1.03;
1631.00;0.01;-0.01;1.03;
1682.00;0.01;-0.02;1.03;
1731.00;0.02;-0.01;1.02;
1781.00;0.01;-0.01;1.02;
1832.00;0.01;-0.02;1.02;
1881.00;0.01;-0.01;1.02;
1931.00;0.01;0.00;1.02;
1980.00;0.01;-0.02;1.02;
2032.00;0.01;-0.01;1.02;
2080.00;0.01;-0.00;1.03;
2131.00;0.01;-0.03;1.03;
2180.00;0.01;-0.01;1.05;
2231.00;0.01;-0.02;1.02;
2280.00;0.01;-0.01;1.02;
2331.00;0.01;-0.00;1.04;
2380.00;0.01;-0.01;1.02;
2431.00;0.01;-0.01;1.04;
2497.00;0.06;0.07;0.98;Positive
2547.00;0.01;-0.04;1.03;Positive
2596.00;-0.05;0.05;1.03;Positive
2647.00;-0.02;0.19;1.14;Positive
2697.00;-0.01;-0.23;1.04;Positive
